Category,Item Name,Item Code,Size,Finish,PCS / Set,SPU,MRP (?),New Product
General Hardware,Sofa Leg 1 (Brushed Gold) SL1-13-BG 120x120x130x1.8mm BG Set of 4 Pcs 594,SL1-15-BG,8 mm | 120x120x130 | 128x128x150 | 100 mm,,Set of 4 Pcs,,684,
General Hardware,Sofa Leg 1 (Brushed Gold) SL1-13-BG 120x120x130x1.8mm BG Set of 4 Pcs 594,SL2-10-BL,8 mm | 128x128x150 | 100 mm,BL/BL,Set of 4 pcs,100,538,
General Hardware,Sofa Leg 2 (Black) SL2-12-BL 120 mm BL Set of 4 pcs 560,SL2-15-BL,120 mm | 150 mm,BL/BL,Set of 4 pcs,150,583,
General Hardware,Sofa Leg 2 (Black) SL2-12-BL 120 mm BL Set of 4 pcs 560,SL3-10-BL,150 mm | 100 mm,BL/BL,Set of 4 pcs,100,650,
General Hardware,Sofa Leg 3 (Black with,SL3-12-BL,100 mm | 120 mm,BL/BL,Set of 4 pcs,120,673,
General Hardware,Gold),SL3-15-BL,120 mm | 150 mm,BL/BL,Set of 4 pcs,150,695,
General Hardware,Gold),SL4A-10-BL,150 mm | 120x120x100,BL/BL,Set of 4 Pcs,,463,
General Hardware,Sofa Leg 4A (Black) SL4A-13-BL 120x120x130mm BL Set of 4 pcs 524,SL4A-15-BL,120x120x130 | 130x130x150,BL/BL,Set of 4 pcs,,597,
General Hardware,Sofa Leg 4A (Black) SL4A-13-BL 120x120x130mm BL Set of 4 pcs 524,SL4A-13-BG,120x120x130,,Set of 4 Pcs,,524,
General Hardware,Gold),SL4A-15-BG,120x120x130 | 130x130x150,,Set of 4 Pcs,,597,
General Hardware,Gold),SL4A-13-SS,120x120x130,SS/SS,Set of 4 Pcs,,"1,163",
General Hardware,Sofa Leg 4A (SS 304),SL4A-15-SS,130x130x150,SS/SS,Set of 4 Pcs,,"1,351",
General Hardware,Sofa Leg 4A (SS 304),SL5-13-BL,130 mm,BL/BL,Set of 4 pcs,130,"1,110",
General Hardware,Sofa Leg 5 (Black),SL5-15-BL,150 mm,BL/BL,Set of 4 pcs,150,"1,121",
General Hardware,Plinth Screw - BB,BHP870,12x24 | 70 mm | 8 X 70 | Load: 800 kgs,,Each,50,92,
General Hardware,Ball Head Plinth Screw,BHP840,Load: 800 kgs | 40 mm | 8 X 40,,Each,50,78,
General Hardware,Safety Corner Bumper R1 SCBR41-1 41 x 41 x 15 mm CL Each 356 /10pc,CDB1,5X3,GR,Each,,10,
General Hardware,Safety Corner Bumper R1 SCBR41-1 41 x 41 x 15 mm CL Each 356 /10pc,CDB2,8X3,GR,Each,,13,
General Hardware,Cabinet Door Buffer,CDB3,8 X 37,GR,Each,37,13,
General Hardware,Cabinet Door Buffer,CDB4,52 X 26,,Each,26,5,
General Hardware,Sliding Cabinet Shutter Nylon,SCF-1,Load: 12kg,,kg,25,105,
